	ID4_GRCh37
1:Del:C:0	0.00724971696375141
1:Del:C:1	0.00273486898632566
1:Del:C:2	0.00204106298979469
1:Del:C:3	0.00111228299443858
1:Del:C:4	0.00107568399462158
1:Del:C:5	0.00224617798876911
1:Del:T:0	0.00663505196682473
1:Del:T:1	0.00162246599188767
1:Del:T:2	0.00263340498683298
1:Del:T:3	0.00030603799846981
1:Del:T:4	0.00102320199488399
1:Del:T:5	0.00015444199922779
1:Ins:C:0	6.61999996689999e-18
1:Ins:C:1	0.000272398998638005
1:Ins:C:2	6.87999996559999e-05
1:Ins:C:3	0.000512480997437595
1:Ins:C:4	6.61999996689999e-18
1:Ins:C:5	0.000249142998754285
1:Ins:T:0	0.000333664998331675
1:Ins:T:1	0.00101004399494978
1:Ins:T:2	1.0599999947e-05
1:Ins:T:3	0.000173934999130325
1:Ins:T:4	1.599999992e-05
1:Ins:T:5	0.000832925995835369
2:Del:R:0	0.0717242136413788
2:Del:R:1	0.230512878847436
2:Del:R:2	0.055059395724703
2:Del:R:3	0.012811005935945
2:Del:R:4	0.00321921798390391
2:Del:R:5	0.0023827209880864
3:Del:R:0	0.00506895397465523
3:Del:R:1	0.0971144655144276
3:Del:R:2	0.0214842818925786
3:Del:R:3	0.00383762698081187
3:Del:R:4	0.000786294996068524
3:Del:R:5	0.00113860899430696
4:Del:R:0	0.00725242896373785
4:Del:R:1	0.0635237296823813
4:Del:R:2	0.0145489219272554
4:Del:R:3	0.00455475197722624
4:Del:R:4	0.000849678995751604
4:Del:R:5	0.000610779996946099
5:Del:R:0	0.00413282597933587
5:Del:R:1	0.0157185329214073
5:Del:R:2	0.00234384498828078
5:Del:R:3	0.0011824799940876
5:Del:R:4	0.000146922999265385
5:Del:R:5	0.00010617399946913
2:Ins:R:0	0.00049292199753539
2:Ins:R:1	0.000553301997233489
2:Ins:R:2	0.000266334998668325
2:Ins:R:3	0.00013779399931103
2:Ins:R:4	7.18999996404999e-05
2:Ins:R:5	0.000103688999481555
3:Ins:R:0	2.62999998685e-05
3:Ins:R:1	0.000450982997745085
3:Ins:R:2	0.000600334996998325
3:Ins:R:3	7.41999996289999e-05
3:Ins:R:4	7.39999996299999e-05
3:Ins:R:5	3.9599999802e-05
4:Ins:R:0	0.000166644999166775
4:Ins:R:1	0.00126643499366782
4:Ins:R:2	9.83999995079999e-05
4:Ins:R:3	5.24999997375e-05
4:Ins:R:4	0.000146910999265445
4:Ins:R:5	0.000135204999323975
5:Ins:R:0	8.57999995709999e-05
5:Ins:R:1	0.00213585198932074
5:Ins:R:2	0.000222026998889865
5:Ins:R:3	7.58999996204999e-06
5:Ins:R:4	2.52999998735e-05
5:Ins:R:5	0.000160228999198855
2:Del:M:1	0.188997489055013
3:Del:M:1	0.00703415596482921
3:Del:M:2	0.049416600752917
4:Del:M:1	0.0109817189450914
4:Del:M:2	0.0294838768525806
4:Del:M:3	0.0488666397556668
5:Del:M:1	0.000453120997734395
5:Del:M:2	0.00013623199931884
5:Del:M:3	0.00111223599443882
5:Del:M:4	0.00365294598173527
5:Del:M:5	4.5599999772e-05
